Basin_ID,Basin_Name,Trend_cm_yr,p_value,Significant,NSE_Natural,NSE_Anthro,Delta_NSE,Delta_R2_Mean,Delta_R2_95_CI,Dominant_Driver,Area_km2,Trend_km3_yr
89,Okavango,0.4796,0.28034,0,-0.0031,0.0409,0.044,-0.0118,"[-0.0573, 0.0327]",P,685302.2727649868,3.2867097001808774
90,Cunene,0.3732,0.30879,0,0.0083,0.031,0.0227,0.0044,"[-0.0470, 0.0600]",P,122140.67774925532,0.45582900936022086
91,Parana,0.3102,4.346e-05,1,0.3247,0.2978,-0.0269,-0.0148,"[-0.0624, 0.0337]",P,2575223.049902679,7.98834190079811
92,Save,-0.3034,0.0023399,1,0.1078,0.1199,0.012,-0.0089,"[-0.0495, 0.0320]",P,118884.19313907331,-0.3606946419839484
93,Limpopo,-0.3065,9.9136e-05,1,0.2049,0.2432,0.0383,0.0288,"[-0.0163, 0.0853]",Q,417040.2877318511,-1.2782284818981238
94,Orange,0.0156,0.72386,0,0.0357,0.0434,0.0077,-0.0072,"[-0.0558, 0.0449]",P,615731.9724166525,0.09605418769699779
95,Murray-Darling,0.1475,0.42782,0,0.0147,0.0224,0.0077,0.0072,"[-0.0375, 0.0560]",P,1059037.5373998526,1.5620803676647828
96,Uruguay,0.2098,0.39769,0,0.2514,0.2774,0.0259,0.0261,"[-0.0217, 0.0768]",P,344678.7361177624,0.7231359883750655
97,Rio Colorado,-0.1171,0.68877,0,0.0317,0.0552,0.0235,0.0013,"[-0.0469, 0.0479]",P,413508.59009087,-0.4842185589964088
98,Rio Salado,-0.1824,0.54551,0,-0.1113,-0.0105,0.1008,0.0231,"[-0.0267, 0.0719]",P,107144.13104864644,-0.19543089503273112
99,Negro,0.0685,0.68394,0,0.2112,0.2285,0.0173,-0.0009,"[-0.0461, 0.0431]",P,162398.75318847306,0.11124314593410406
100,Chobut,-0.2105,4.8875e-06,1,0.0883,0.1061,0.0177,-0.0035,"[-0.0512, 0.0445]",P,139823.87703964868,-0.2943292611684605
101,Lake Chad,0.0662,0.43602,0,0.101,0.1276,0.0266,-0.001,"[-0.0444, 0.0408]",P,1506814.1426340966,0.9975109624237719
102,Lena,-0.1209,0.18036,0,0.0368,0.0369,0.0001,-0.0042,"[-0.0618, 0.0503]",P,2415906.1221083547,-2.920830501629001
103,Ob,0.1027,0.51571,0,-0.008,-0.0003,0.0076,0.0058,"[-0.0413, 0.0597]",P,3068453.505751387,3.151301750406675
