Basin_ID,Delta_R2_Mean,Delta_R2_Median,Delta_R2_SE,Delta_R2_CI_2_5,Delta_R2_CI_97_5,Imp_P_Mean,Imp_P_CI_Low,Imp_P_CI_Upp,Imp_ET_Mean,Imp_ET_CI_Low,Imp_ET_CI_Upp,Imp_Q_Mean,Imp_Q_CI_Low,Imp_Q_CI_Upp,Imp_GW_Mean,Imp_GW_CI_Low,Imp_GW_CI_Upp,Imp_SW_Mean,Imp_SW_CI_Low,Imp_SW_CI_Upp,Top_Driver_Prob_P,Top_Driver_Prob_ET,Top_Driver_Prob_Q,Top_Driver_Prob_GW,Top_Driver_Prob_SW
55,0.016537225167578,0.0157393414986955,0.0336334511219272,-0.0513202422055643,0.0819413100070818,0.982690344588263,0.546713780536664,1.42106239992534,0.72297672006494,0.201322169324993,1.23402908276075,0.817683833858953,0.376842479041224,1.26201035108558,0.681291663585668,0.124309294575294,1.20564183593026,0.861346352005171,0.397573272608438,1.29013836492354,0.608,0.053,0.125,0.032,0.182
56,0.0148379849577191,0.0146448727600823,0.0278374537204718,-0.0375931695839781,0.0725013955050273,1.03354175585058,0.701587840407974,1.34452509571576,0.84336983354975,0.371545656323679,1.23037954053266,0.895489943654248,0.500834581921879,1.27986365101467,0.785398132932212,0.31872159275934,1.23925986046505,0.862901466055994,0.471279410867348,1.24422585525063,0.594,0.069,0.175,0.09,0.072
57,-0.00141410949116488,-0.00215780982610919,0.0317805423338127,-0.0618315353467238,0.0566876038464438,0.998378762376006,0.503305171348234,1.37545220130584,0.920613663001443,0.407892855528777,1.34283876711292,0.972418572488301,0.525819749113467,1.35487544509403,0.778468417008465,0.192779564039811,1.25592196152615,0.820167658391819,0.268677068492112,1.29527278987723,0.426,0.194,0.29,0.033,0.057
58,0.042173095050651,0.0419024828541129,0.0308242749025418,-0.0189441455179727,0.0998345116813579,0.964311237927115,0.53280494993039,1.32996261002998,0.753874525292154,0.286072829092576,1.20153792951601,0.958852871238741,0.61367175104621,1.24951939501788,0.934855338200616,0.543549010265677,1.27754970244142,0.868463059641442,0.387873725635576,1.29911890631809,0.341,0.03,0.284,0.225,0.12
59,0.0564615145205364,0.0573132924620795,0.029985834601959,-0.00417497543077638,0.112037402532725,1.10372698100401,0.746791454192614,1.42750829433743,0.844946781911324,0.399696542289324,1.25551929440621,0.906949030881734,0.524607599260468,1.29182331277021,1.0197671123681,0.593974253225786,1.36400990837061,0.89892945106496,0.458385602575395,1.28880682793351,0.577,0.024,0.09,0.262,0.047
60,0.0280076501274128,0.0283809051366301,0.0270878013679854,-0.0272296172910064,0.08218320188905,1.13416981536792,0.719374124509925,1.49632855048106,0.875350699768143,0.398944203366367,1.25818542442337,1.01077195889365,0.643135777384386,1.34646384892349,0.940047558300388,0.561523387503446,1.31819449230188,0.912296467451439,0.440926536657222,1.31299155962634,0.661,0.03,0.199,0.054,0.056
61,0.0222275215080103,0.0218099915331595,0.0286955580704934,-0.0311876826599872,0.0815018024997847,1.17721850952537,0.840952416073165,1.49154611821832,0.947087135843668,0.565685454761966,1.31773201379332,0.904683744316131,0.535835184709667,1.3122358097697,1.0201926657354,0.648532083099644,1.33867732274972,0.884132328782656,0.47338248692188,1.28011622251306,0.712,0.053,0.049,0.151,0.035
62,0.0350763949451537,0.0342806369582841,0.0241967662821023,-0.0117384619209736,0.0850951884939705,1.11029151117999,0.759536017758261,1.43110020360848,0.835415923467281,0.374587139236917,1.27294026547522,0.977036981132079,0.601725379544597,1.33692996291984,0.825332695221826,0.372741720625412,1.27126326035024,0.943020352655368,0.531281003376018,1.35251021789553,0.657,0.04,0.171,0.032,0.1
63,0.0609173926224753,0.0610807296655453,0.0274783442243431,0.00782344863240081,0.115282919908401,1.02960111999979,0.68834071048986,1.4145188378737,0.831327030536718,0.31397108051093,1.28616844233788,0.832193044290569,0.351509532242663,1.2489137119498,1.0350660109419,0.632863345883553,1.3904612619444,0.859460835911286,0.428055653243105,1.22879966399313,0.433,0.073,0.034,0.412,0.048
64,0.0129471021035991,0.0119957444109945,0.027670171504114,-0.0377228250116687,0.0693668454654111,1.17422290194145,0.804571694016154,1.50089165161735,0.773028875762981,0.25372845374968,1.22061903758962,0.913725644280288,0.493164501775724,1.3071626800319,0.776123826639219,0.291841826189972,1.21850681247189,0.907926668843528,0.499968421535403,1.27763700438135,0.834,0.011,0.079,0.007,0.069
