BasinID,Intercept,Beta_P,Beta_ET,Beta_Q,Beta_GW,Beta_SW,Mean_Delta_R2
76,-0.123585767595365,9.58890524554401,-0.0908224932629333,-3.6438335344824,23500104225.0393,-969.987454602662,0.00684452322354971
77,-0.0430478368073881,3.59888267070679,0.197150184294662,-2.25142280201694,3888929608.62262,12241.5036970672,0.0105889993678994
78,0.0904964413476616,1.97444886848165,-0.0717755308264804,-0.890435137013094,307725901.52118,9356.17627509622,0.00785016089047451
79,-0.0597704623943886,3.59536766221447,0.077603117456998,8.24198920624874,5568322666.38251,-5378.42394324926,0.0164395465715024
80,-0.00175808362338219,9.42657654115759,-0.448410877229195,1.35227916887067,734346534.834068,-915.056152703572,0.00955021827370797
81,0.0263729799652202,8.11442261119828,-0.155780358990359,8.55353733353953,-98894574.3953402,122.758285079666,0.0138448159366038
82,0.12720421881724,1.01940696589526,0.16663632561408,-0.968184431483379,-3228398492.4665,10671.7329875016,0.0053081392054813
83,-0.0952147303275667,5.10697079952698,0.0760170293855262,-9.3409383396105,27835057211.2625,46.362220758936,0.00924607009749187
84,0.13420403283477,2.12107985190415,-0.0030441211544107,-2.41850763620147,27182540580.0629,-7390.89997657934,0.00741442471875358
85,0.0949840142854851,9.32927630336351,-0.253077131574121,5.20233139014672,-167988982.644455,-55.8605456324472,0.0114858898139618
86,-0.0869839038745746,2.71875348184403,-0.126846718839166,-1.47954156529295,2778950076.30329,-117.899528033961,0.00923661211569284
87,-0.137820478352477,6.39100530965064,-0.117853721870545,-0.430241461324795,28493799916.9737,-1479.87636945329,0.00975834004472199
88,-0.172908362067639,6.38521331615736,0.00659806384897992,0.856673967118343,-78080612999.607,-4452.47215549062,0.00977203198043284
89,-0.097247017813617,6.97741194427579,-0.128172495414427,-39.6423515175555,-19315554247.1415,2288.18140875116,0.00686034110793524
90,-0.0570970386167511,4.80003077592314,-0.21267436674785,-7.59703334286004,-2864297324.16996,-1341.92516167606,0.00625992947472191
91,0.047653819350366,7.19724319000951,-0.248303326653612,-5.71690409519112,15791155900.1411,-2012.76061478405,0.00837430716116615
92,-0.0770236712454205,5.97652993169474,0.0872597691368073,-11.6816043950373,-8871259709.87064,31.7585908654273,0.0054380891610576
93,0.00273040879032338,6.26941550975409,0.00826939378891768,-20.1119984503183,-13366329775.7033,98.921932030324,0.00886278762164645
94,-0.0146350626281799,2.21531814345806,-0.0428038989427333,-65.7324117450902,3963783808.83518,9108371751.48385,0.00946157350698283
95,0.0163299088375544,3.58704940999659,0.00298805144816303,-11.7183705611286,8550162367.27041,-196.139574963398,0.0106001848157152
96,0.0138686881792645,6.07629277349238,-0.462346139054165,-6.48751063584196,-2205961589.11889,-3810.26299689466,0.0195292786290553
97,0.00593767957643841,3.68780677080701,0.0219150492041858,16.4623831435743,12704508192.7379,-79835.3560466156,0.00936385096505052
98,0.0279366023051377,3.68406878181602,-0.0826529914854058,-3.90246040686981,1759.64623091444,-3.6857448539672,0.00579869967685443
99,0.0119471605169168,5.2575957826052,-0.0135305114676417,117.119919482659,5844323970.83332,-1115.19406818453,0.00993626003889093
100,-0.0161211796167405,6.18898759198943,0.0226626742222341,-184.146137989707,40773992154.9765,503.783786277779,0.0121115527036835
101,0.0417663562262486,5.11625153097345,-0.0388734991162114,-372.29821423019,11137808456.8017,68906627.5535873,0.00734033818706699
102,-0.0406378624380327,4.08545282440304,-0.303120036363592,-1.63800348625083,9587088119.55913,-84422456.8518043,0.00586685485775392
103,-0.0760032568436957,5.46117590169882,-0.302986200485569,1.32907843974367,5536233643.99685,74704015.053771,0.0085783324075101
